         104            9            0           14          37.5185             2.85 
         105            9            0           14          40.2406          4.02679 
         106            9            0           14          49.7411             2.85 
         103           10            0           14          22.6039          2.26193 
         104           10            0           14          41.0637             2.85 
         105           10            0           14          38.3413          3.83673 
         106           10            0           14          57.0903             2.85 
         103           11            0           14          23.1857          2.32014 
         104           11            0           14          41.9992             2.85 
         105           11            0           14          28.8594           2.8879 
         106           11            0           14          58.4956             2.85 
         103           12            0           14          22.8095           2.2825 
         104           12            0           14          41.9799             2.85 
         105           12            0           14            26.91          2.69282 
         106           12            0           14          59.6626             2.85 
         103            2            0           15          8.33774         0.834339 
         104            2            0           15          10.5716             2.85 
         105            2            0           15          9.28323         0.928953 
         106            2            0           15          8.75971             2.85 
         103            3            0           15           10.972          1.09794 
         104            3            0           15          16.6447             2.85 
         105            3            0           15          12.4786          1.24871 
         106            3            0           15          9.89213             2.85 
         103            4            0           15           13.208          1.32169 
         104            4            0           15          18.8554             2.85 
         105            4            0           15          15.2829          1.52933 
         106            4            0           15          15.7793             2.85 
         103            5            0           15          14.8751          1.48852 
         104            5            0           15          22.7758             2.85 
         105            5            0           15          20.9223          2.09365 
         106            5            0           15          22.0887             2.85 
         103            6            0           15          18.7138          1.87265 
         104            6            0           15          27.6786             2.85 
         105            6            0           15          26.1444          2.61622 
         106            6            0           15          25.1245             2.85 
         103            7            0           15          20.6505          2.06645 
         104            7            0           15           32.934             2.85 
         105            7            0           15           31.747          3.17686 
         106            7            0           15          30.2672             2.85 
         103            8            0           15          22.2552          2.22703 
